iteration,M,triangles,time
0,1000,1377929.8353606192,4.3986194133758545
1,1000,1377929.8353606192,3.506626605987549
2,1000,688964.9176803096,3.6199252605438232
3,1000,2066894.7530409289,4.010228157043457
4,1000,2066894.7530409289,3.5662620067596436
0,5000,1754019.5423912005,49.91963005065918
1,5000,1754019.5423912005,46.76715326309204
2,5000,1567070.7510391604,46.12495756149292
3,5000,1710031.5914848382,45.54381990432739
4,5000,1655046.6528518852,46.210010051727295
0,10000,1606452.7028857209,132.3581554889679
1,10000,1627065.8684488395,133.75782537460327
2,10000,1604391.386329409,132.87283182144165
3,10000,1675850.360281554,131.93841886520386
4,10000,1635998.2401928578,131.48035216331482
