iteration,M,triangles,time
0,1000,0.0,5.6430511474609375
1,1000,0.0,5.944936037063599
2,1000,0.0,5.74186897277832
3,1000,0.0,5.595546007156372
4,1000,0.0,5.608981132507324
0,5000,20739008.426549096,94.34530520439148
1,5000,20739008.426549096,95.17645359039307
2,5000,31108512.639823645,96.06919717788696
3,5000,10369504.213274548,96.00239276885986
4,5000,0.0,102.35580849647522
0,10000,14253790.444979701,384.06862449645996
1,10000,7774794.788170746,365.8434028625488
2,10000,10366393.050894327,364.9882502555847
3,10000,7774794.788170746,398.64389967918396
4,10000,12957991.31361791,371.137752532959
