alexa@Alex MINGW64 /C/Users/alexa/OneDrive/KTH grejer/ID2222 Data Mining/Lab assignments/Lab 5
$ ./run.sh -graph ./graphs/twitter.graph
2023-12-09 19:55:46 INFO  GraphReader:54 - ./graphs/twitter.graph. Nodes: 2731, Edges: 164629
2023-12-09 19:55:47 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 682 ] [ Color: 1, Count: 683 ] [ Color: 2, Count: 683 ] [ Color: 3, Count: 683 ]
2023-12-09 19:55:47 INFO  Jabeja:293 - round: 0, edge cut:89837, swaps: 2189, migrations: 2109
2023-12-09 19:55:47 INFO  Jabeja:293 - round: 1, edge cut:61129, swaps: 3450, migrations: 2043
2023-12-09 19:55:47 INFO  Jabeja:293 - round: 2, edge cut:51098, swaps: 4115, migrations: 2063
2023-12-09 19:55:47 INFO  Jabeja:293 - round: 3, edge cut:46671, swaps: 4503, migrations: 2043
2023-12-09 19:55:48 INFO  Jabeja:293 - round: 4, edge cut:44902, swaps: 4741, migrations: 2036
2023-12-09 19:55:48 INFO  Jabeja:293 - round: 5, edge cut:43677, swaps: 4907, migrations: 2028
2023-12-09 19:55:48 INFO  Jabeja:293 - round: 6, edge cut:42892, swaps: 5051, migrations: 2045
2023-12-09 19:55:48 INFO  Jabeja:293 - round: 7, edge cut:42401, swaps: 5156, migrations: 2033
2023-12-09 19:55:49 INFO  Jabeja:293 - round: 8, edge cut:41956, swaps: 5243, migrations: 2032
2023-12-09 19:55:49 INFO  Jabeja:293 - round: 9, edge cut:41825, swaps: 5308, migrations: 2043
2023-12-09 19:55:49 INFO  Jabeja:293 - round: 10, edge cut:41718, swaps: 5352, migrations: 2033
2023-12-09 19:55:49 INFO  Jabeja:293 - round: 11, edge cut:41646, swaps: 5392, migrations: 2030
2023-12-09 19:55:50 INFO  Jabeja:293 - round: 12, edge cut:41665, swaps: 5420, migrations: 2029
2023-12-09 19:55:50 INFO  Jabeja:293 - round: 13, edge cut:41581, swaps: 5442, migrations: 2036
2023-12-09 19:55:50 INFO  Jabeja:293 - round: 14, edge cut:41528, swaps: 5464, migrations: 2036
2023-12-09 19:55:50 INFO  Jabeja:293 - round: 15, edge cut:41514, swaps: 5478, migrations: 2035
2023-12-09 19:55:51 INFO  Jabeja:293 - round: 16, edge cut:41543, swaps: 5498, migrations: 2040
2023-12-09 19:55:51 INFO  Jabeja:293 - round: 17, edge cut:41514, swaps: 5523, migrations: 2035
2023-12-09 19:55:51 INFO  Jabeja:293 - round: 18, edge cut:41503, swaps: 5534, migrations: 2034
2023-12-09 19:55:51 INFO  Jabeja:293 - round: 19, edge cut:41514, swaps: 5543, migrations: 2033
2023-12-09 19:55:51 INFO  Jabeja:293 - round: 20, edge cut:41516, swaps: 5568, migrations: 2035
2023-12-09 19:55:52 INFO  Jabeja:293 - round: 21, edge cut:41500, swaps: 5590, migrations: 2037
2023-12-09 19:55:52 INFO  Jabeja:293 - round: 22, edge cut:41457, swaps: 5618, migrations: 2032
2023-12-09 19:55:52 INFO  Jabeja:293 - round: 23, edge cut:41423, swaps: 5634, migrations: 2032
2023-12-09 19:55:52 INFO  Jabeja:293 - round: 24, edge cut:41425, swaps: 5645, migrations: 2030
2023-12-09 19:55:53 INFO  Jabeja:293 - round: 25, edge cut:41423, swaps: 5658, migrations: 2028
2023-12-09 19:55:53 INFO  Jabeja:293 - round: 26, edge cut:41392, swaps: 5672, migrations: 2030
2023-12-09 19:55:53 INFO  Jabeja:293 - round: 27, edge cut:41391, swaps: 5681, migrations: 2027
2023-12-09 19:55:53 INFO  Jabeja:293 - round: 28, edge cut:41391, swaps: 5695, migrations: 2026
2023-12-09 19:55:54 INFO  Jabeja:293 - round: 29, edge cut:41395, swaps: 5703, migrations: 2026
2023-12-09 19:55:54 INFO  Jabeja:293 - round: 30, edge cut:41380, swaps: 5709, migrations: 2026
2023-12-09 19:55:54 INFO  Jabeja:293 - round: 31, edge cut:41377, swaps: 5714, migrations: 2028
2023-12-09 19:55:54 INFO  Jabeja:293 - round: 32, edge cut:41373, swaps: 5716, migrations: 2029
2023-12-09 19:55:54 INFO  Jabeja:293 - round: 33, edge cut:41363, swaps: 5720, migrations: 2029
2023-12-09 19:55:55 INFO  Jabeja:293 - round: 34, edge cut:41364, swaps: 5724, migrations: 2027
2023-12-09 19:55:55 INFO  Jabeja:293 - round: 35, edge cut:41352, swaps: 5728, migrations: 2027
2023-12-09 19:55:55 INFO  Jabeja:293 - round: 36, edge cut:41286, swaps: 5733, migrations: 2022
2023-12-09 19:55:55 INFO  Jabeja:293 - round: 37, edge cut:41288, swaps: 5735, migrations: 2024
2023-12-09 19:55:56 INFO  Jabeja:293 - round: 38, edge cut:41287, swaps: 5737, migrations: 2024
2023-12-09 19:55:56 INFO  Jabeja:293 - round: 39, edge cut:41285, swaps: 5744, migrations: 2025
2023-12-09 19:55:56 INFO  Jabeja:293 - round: 40, edge cut:41283, swaps: 5746, migrations: 2028
2023-12-09 19:55:56 INFO  Jabeja:293 - round: 41, edge cut:41276, swaps: 5752, migrations: 2029
2023-12-09 19:55:57 INFO  Jabeja:293 - round: 42, edge cut:41270, swaps: 5758, migrations: 2027
2023-12-09 19:55:57 INFO  Jabeja:293 - round: 43, edge cut:41267, swaps: 5759, migrations: 2028
2023-12-09 19:55:57 INFO  Jabeja:293 - round: 44, edge cut:41267, swaps: 5759, migrations: 2028
2023-12-09 19:55:57 INFO  Jabeja:293 - round: 45, edge cut:41266, swaps: 5760, migrations: 2028
2023-12-09 19:55:57 INFO  Jabeja:293 - round: 46, edge cut:41268, swaps: 5761, migrations: 2027
2023-12-09 19:55:58 INFO  Jabeja:293 - round: 47, edge cut:41269, swaps: 5762, migrations: 2027
2023-12-09 19:55:58 INFO  Jabeja:293 - round: 48, edge cut:41269, swaps: 5762, migrations: 2027
2023-12-09 19:55:58 INFO  Jabeja:293 - round: 49, edge cut:41283, swaps: 5764, migrations: 2026
2023-12-09 19:55:58 INFO  Jabeja:293 - round: 50, edge cut:41277, swaps: 5765, migrations: 2025
2023-12-09 19:55:59 INFO  Jabeja:293 - round: 51, edge cut:41277, swaps: 5765, migrations: 2025
2023-12-09 19:55:59 INFO  Jabeja:293 - round: 52, edge cut:41271, swaps: 5766, migrations: 2027
2023-12-09 19:55:59 INFO  Jabeja:293 - round: 53, edge cut:41274, swaps: 5768, migrations: 2027
2023-12-09 19:55:59 INFO  Jabeja:293 - round: 54, edge cut:41274, swaps: 5768, migrations: 2027
2023-12-09 19:56:00 INFO  Jabeja:293 - round: 55, edge cut:41273, swaps: 5769, migrations: 2027
2023-12-09 19:56:00 INFO  Jabeja:293 - round: 56, edge cut:41273, swaps: 5769, migrations: 2027
2023-12-09 19:56:00 INFO  Jabeja:293 - round: 57, edge cut:41273, swaps: 5769, migrations: 2027
2023-12-09 19:56:00 INFO  Jabeja:293 - round: 58, edge cut:41273, swaps: 5769, migrations: 2027
2023-12-09 19:56:00 INFO  Jabeja:293 - round: 59, edge cut:41273, swaps: 5769, migrations: 2027
2023-12-09 19:56:01 INFO  Jabeja:293 - round: 60, edge cut:41273, swaps: 5769, migrations: 2027
2023-12-09 19:56:01 INFO  Jabeja:293 - round: 61, edge cut:41272, swaps: 5770, migrations: 2029
2023-12-09 19:56:01 INFO  Jabeja:293 - round: 62, edge cut:41272, swaps: 5770, migrations: 2029
