n_documents,time
0,0.12784528732299805
10,0.19179320335388184
20,0.21825504302978516
30,0.30798768997192383
40,0.3924233913421631
50,0.49949073791503906
60,0.5438764095306396
70,0.671130895614624
80,0.808436393737793
90,0.9213438034057617
100,1.0374503135681152
110,1.2500483989715576
120,1.3520267009735107
130,1.5324363708496094
140,1.7409977912902832
150,1.8854570388793945
160,2.166064977645874
170,2.3180325031280518
180,2.527280330657959
190,2.7811217308044434
200,3.037029266357422
210,3.2986598014831543
220,3.5285303592681885
230,3.850008010864258
240,4.213030576705933
250,4.7392566204071045
260,5.161351919174194
270,5.560089826583862
280,5.889578819274902
290,6.259315252304077
300,6.6541032791137695
310,7.0418336391448975
320,7.96714973449707
330,8.326900959014893
340,8.805020332336426
350,9.387015581130981
360,9.931535720825195
370,10.153019428253174
380,10.668959140777588
390,11.4496009349823
